"Field","Declaration","DeclarationCount","TotalReferences","UsedElsewhere","Recommendation"
"_lastUpdated","D:/CODE/Cshp/SOUP/src/ViewModels/InventoryItemDialogViewModel.cs:42","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_lastUserAction","D:/CODE/Cshp/SOUP/src/Services/SpotifyService.cs:42","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_launchWidgetOnStartup","D:/CODE/Cshp/SOUP/src/ViewModels/ApplicationSettingsViewModel.cs:43","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_left","D:/CODE/Cshp/SOUP/src/Behaviors/FloatingAdorner.cs:12","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_loadDictionariesCts","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddyRPGViewModel.cs:71","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_locationDistribution","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseAnalyticsViewModel.cs:22","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_lock","D:/CODE/Cshp/SOUP/src/Services/WidgetProcessService.cs:19, D:/CO...","2","0","-2","Candidate - manual verify (XAML/reflection)"
"_logger","D:/CODE/Cshp/SOUP/src/Services/AppLifecycleService.cs:19, D:/COD...","12","0","-12","Candidate - manual verify (XAML/reflection)"
"_logoAnimation","D:/CODE/Cshp/SOUP/src/Windows/SplashWindow.xaml.cs:16","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_lowStockThreshold","D:/CODE/Cshp/SOUP/src/ViewModels/EssentialsBuddySettingsViewMode...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_maximumThreshold","D:/CODE/Cshp/SOUP/src/ViewModels/InventoryItemDialogViewModel.cs:36","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_minimumThreshold","D:/CODE/Cshp/SOUP/src/ViewModels/InventoryItemDialogViewModel.cs:33","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_moduleConfig","D:/CODE/Cshp/SOUP/src/ViewModels/LauncherViewModel.cs:20","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_monthItemCount","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseViewModel.cs:143","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_monthlyData","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseAnalyticsViewModel.cs:16","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_monthTotalUnits","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseViewModel.cs:149","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_mostCommonLocation","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseAnalyticsViewModel.cs:46","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_mySqlService","D:/CODE/Cshp/SOUP/src/ViewModels/ExternalDataViewModel.cs:16","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_mySqlTestResult","D:/CODE/Cshp/SOUP/src/ViewModels/ExternalDataViewModel.cs:34","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_mySqlTestSuccess","D:/CODE/Cshp/SOUP/src/ViewModels/ExternalDataViewModel.cs:40","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_navigationService","D:/CODE/Cshp/SOUP/src/ViewModels/LauncherViewModel.cs:17","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_navOrderService","D:/CODE/Cshp/SOUP/src/ViewModels/MainWindowViewModel.cs:26","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_newDictDescription","D:/CODE/Cshp/SOUP/src/ViewModels/ExpirationItemDialogViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_newDictItemNumber","D:/CODE/Cshp/SOUP/src/ViewModels/ExpirationItemDialogViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_newItemDescription","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddySettingsViewMode...","2","0","-2","Candidate - manual verify (XAML/reflection)"
"_newItemIsEssential","D:/CODE/Cshp/SOUP/src/ViewModels/DictionaryManagementViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_newItemIsPrivateLabel","D:/CODE/Cshp/SOUP/src/ViewModels/DictionaryManagementViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_newItemNumber","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddySettingsViewMode...","2","0","-2","Candidate - manual verify (XAML/reflection)"
"_newItemSkus","D:/CODE/Cshp/SOUP/src/ViewModels/DictionaryManagementViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_newItemTags","D:/CODE/Cshp/SOUP/src/ViewModels/DictionaryManagementViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_newStoreCode","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddySettingsViewMode...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_newStoreId","D:/CODE/Cshp/SOUP/src/ViewModels/DictionaryManagementViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_newStoreName","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddySettingsViewMode...","2","0","-2","Candidate - manual verify (XAML/reflection)"
"_newStoreRank","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddySettingsViewMode...","2","0","-2","Candidate - manual verify (XAML/reflection)"
"_nextExpiringDays","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseAnalyticsViewModel.cs:52","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_nextExpiringItem","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseAnalyticsViewModel.cs:49","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_notFoundCount","D:/CODE/Cshp/SOUP/src/ViewModels/ExpirationItemDialogViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_notifyIcon","D:/CODE/Cshp/SOUP/src/Services/TrayIconService.cs:18","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_orderLogHandler","D:/CODE/Cshp/SOUP/src/ViewModels/UnifiedSettingsViewModel.cs:40","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_outOfStockThreshold","D:/CODE/Cshp/SOUP/src/ViewModels/EssentialsBuddySettingsViewMode...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_parsedItems","D:/CODE/Cshp/SOUP/src/ViewModels/ExpirationItemDialogViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_parser","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddyRPGViewModel.cs:...","3","0","-3","Candidate - manual verify (XAML/reflection)"
"_pasteText","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddyRPGViewModel.cs:148","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_pollTimer","D:/CODE/Cshp/SOUP/src/Services/SpotifyService.cs:41","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_privateLabelOnly","D:/CODE/Cshp/SOUP/src/ViewModels/EssentialsBuddyViewModel.cs:96","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_progressAnimation","D:/CODE/Cshp/SOUP/src/Windows/SplashWindow.xaml.cs:17","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_progressHandler","D:/CODE/Cshp/SOUP/src/ViewModels/DictionaryManagementViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_quantity","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddyRPGViewModel.cs:...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_quantityOnHand","D:/CODE/Cshp/SOUP/src/ViewModels/InventoryItemDialogViewModel.cs:30","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_quickAddExpanded","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseViewModel.cs:230","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_quickAddMonth","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseViewModel.cs:236","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_quickAddSku","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseViewModel.cs:218","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_quickAddStatus","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseViewModel.cs:224","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_quickAddUnits","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseViewModel.cs:248","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_quickAddYear","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseViewModel.cs:242","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_rememberWindowPositions","D:/CODE/Cshp/SOUP/src/ViewModels/ApplicationSettingsViewModel.cs:70","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_repository","D:/CODE/Cshp/SOUP/src/ViewModels/EssentialsBuddyViewModel.cs:43,...","3","0","-3","Candidate - manual verify (XAML/reflection)"
"_runAtStartup","D:/CODE/Cshp/SOUP/src/ViewModels/ApplicationSettingsViewModel.cs:35","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_searchText","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddyRPGViewModel.cs:...","3","0","-3","Candidate - manual verify (XAML/reflection)"
"_selectedDictionaryItem","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddySettingsViewMode...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_selectedItem","D:/CODE/Cshp/SOUP/src/ViewModels/DictionaryManagementViewModel.c...","3","0","-3","Candidate - manual verify (XAML/reflection)"
"_selectedItems","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseViewModel.cs:83","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_selectedLocation","D:/CODE/Cshp/SOUP/src/ViewModels/SelectLocationDialogViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_selectedMarginPreset","D:/CODE/Cshp/SOUP/src/ViewModels/SwiftLabelViewModel.cs:39","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_selectedNavItem","D:/CODE/Cshp/SOUP/src/ViewModels/MainWindowViewModel.cs:38","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_selectedPaperSize","D:/CODE/Cshp/SOUP/src/ViewModels/SwiftLabelViewModel.cs:36","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_selectedPrinter","D:/CODE/Cshp/SOUP/src/ViewModels/SwiftLabelViewModel.cs:33","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_selectedQuantity","D:/CODE/Cshp/SOUP/src/ViewModels/SelectLocationDialogViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_selectedStore","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddySettingsViewMode...","4","0","-4","Candidate - manual verify (XAML/reflection)"
"_selectedTabIndex","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseViewModel.cs:189","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_serviceProvider","D:/CODE/Cshp/SOUP/src/Services/WidgetThreadService.cs:19, D:/COD...","7","0","-7","Candidate - manual verify (XAML/reflection)"
"_sessionManager","D:/CODE/Cshp/SOUP/src/Services/SpotifyService.cs:46","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_settingsDir","D:/CODE/Cshp/SOUP/src/Services/WindowSettingsService.cs:30","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_settingsPath","D:/CODE/Cshp/SOUP/src/Services/ThemeService.cs:34","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_settingsService","D:/CODE/Cshp/SOUP/src/Services/TrayIconService.cs:17, D:/CODE/Cs...","8","0","-8","Candidate - manual verify (XAML/reflection)"
"_showAddToDictionaryPanel","D:/CODE/Cshp/SOUP/src/ViewModels/ExpirationItemDialogViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_showAllItems","D:/CODE/Cshp/SOUP/src/ViewModels/DictionaryManagementViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_showConfirmationDialogs","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddyRPGViewModel.cs:...","2","0","-2","Candidate - manual verify (XAML/reflection)"
"_showDictSuggestions","D:/CODE/Cshp/SOUP/src/ViewModels/ExpirationItemDialogViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_showExpirationNotifications","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseSettingsViewModel.cs:37","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_showLowStockNotifications","D:/CODE/Cshp/SOUP/src/ViewModels/EssentialsBuddySettingsViewMode...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_shownAt","D:/CODE/Cshp/SOUP/src/Windows/SplashWindow.xaml.cs:18","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_showResults","D:/CODE/Cshp/SOUP/src/ViewModels/ExpirationItemDialogViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_showTrayIcon","D:/CODE/Cshp/SOUP/src/ViewModels/ApplicationSettingsViewModel.cs:59","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_sKU","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddyRPGViewModel.cs:...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_skuInput","D:/CODE/Cshp/SOUP/src/ViewModels/ExpirationItemDialogViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_skuWasAdded","D:/CODE/Cshp/SOUP/src/ViewModels/ExpirationItemDialogViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_startMinimizedToTray","D:/CODE/Cshp/SOUP/src/ViewModels/ApplicationSettingsViewModel.cs:38","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_startPoint","D:/CODE/Cshp/SOUP/src/Behaviors/ListBoxDragDropBehavior.cs:23","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_statusDistribution","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseAnalyticsViewModel.cs:19","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_statusFilter","D:/CODE/Cshp/SOUP/src/ViewModels/EssentialsBuddyViewModel.cs:84,...","2","0","-2","Candidate - manual verify (XAML/reflection)"
"_statusMessage","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddyRPGViewModel.cs:...","11","0","-11","Candidate - manual verify (XAML/reflection)"
"_stores","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddySettingsViewMode...","2","0","-2","Candidate - manual verify (XAML/reflection)"
"_storeSearchText","D:/CODE/Cshp/SOUP/src/ViewModels/DictionaryManagementViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_sufficientThreshold","D:/CODE/Cshp/SOUP/src/ViewModels/EssentialsBuddySettingsViewMode...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_syncProgress","D:/CODE/Cshp/SOUP/src/ViewModels/DictionaryManagementViewModel.c...","2","0","-2","Candidate - manual verify (XAML/reflection)"
"_syncProgressMessage","D:/CODE/Cshp/SOUP/src/ViewModels/DictionaryManagementViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_syncService","D:/CODE/Cshp/SOUP/src/ViewModels/DictionaryManagementViewModel.c...","2","0","-2","Candidate - manual verify (XAML/reflection)"
"_syncStatus","D:/CODE/Cshp/SOUP/src/ViewModels/ExternalDataViewModel.cs:28","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_theme","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddySettingsViewMode...","3","0","-3","Candidate - manual verify (XAML/reflection)"
"_themeService","D:/CODE/Cshp/SOUP/src/ViewModels/ApplicationSettingsViewModel.cs...","3","0","-3","Candidate - manual verify (XAML/reflection)"
"_title","D:/CODE/Cshp/SOUP/src/ViewModels/MainWindowViewModel.cs:32","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_top","D:/CODE/Cshp/SOUP/src/Behaviors/FloatingAdorner.cs:13","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_totalBoxes","D:/CODE/Cshp/SOUP/src/ViewModels/SwiftLabelViewModel.cs:50","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_totalInLocations","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddyRPGViewModel.cs:...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_totalItemCount","D:/CODE/Cshp/SOUP/src/ViewModels/ExpirationItemDialogViewModel.c...","2","0","-2","Candidate - manual verify (XAML/reflection)"
"_totalItems","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseAnalyticsViewModel.cs...","2","0","-2","Candidate - manual verify (XAML/reflection)"
"_totalMonths","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseViewModel.cs:173","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_totalPages","D:/CODE/Cshp/SOUP/src/ViewModels/DictionaryManagementViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_totalUnits","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseAnalyticsViewModel.cs:28","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_trackTitle","D:/CODE/Cshp/SOUP/src/Services/SpotifyService.cs:35","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_transferNumber","D:/CODE/Cshp/SOUP/src/ViewModels/SwiftLabelViewModel.cs:53","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_units","D:/CODE/Cshp/SOUP/src/ViewModels/ExpirationItemDialogViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_updateCheckCts","D:/CODE/Cshp/SOUP/src/Windows/OrderLogWidgetWindow.xaml.cs:41","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_updateCheckTimer","D:/CODE/Cshp/SOUP/src/ViewModels/MainWindowViewModel.cs:28, D:/C...","2","0","-2","Candidate - manual verify (XAML/reflection)"
"_updateService","D:/CODE/Cshp/SOUP/src/ViewModels/MainWindowViewModel.cs:27","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_updateVersion","D:/CODE/Cshp/SOUP/src/ViewModels/MainWindowViewModel.cs:44","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_useBasicTheme","D:/CODE/Cshp/SOUP/src/Services/ThemeService.cs:47, D:/CODE/Cshp/...","2","0","-2","Candidate - manual verify (XAML/reflection)"
"_viewMode","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddyRPGViewModel.cs:319","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_viewModel","D:/CODE/Cshp/SOUP/src/Views/UnifiedSettingsWindow.xaml.cs:13, D:...","2","0","-2","Candidate - manual verify (XAML/reflection)"
"_warningItems","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseAnalyticsViewModel.cs:37","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_warningThresholdDays","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseSettingsViewModel.cs:19","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_widgetDispatcher","D:/CODE/Cshp/SOUP/src/Services/WidgetThreadService.cs:21","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_widgetOnlyMode","D:/CODE/Cshp/SOUP/src/ViewModels/ApplicationSettingsViewModel.cs:46","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_widgetProcess","D:/CODE/Cshp/SOUP/src/Services/WidgetProcessService.cs:18","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_widgetProcessService","D:/CODE/Cshp/SOUP/src/Services/AppLifecycleService.cs:20, D:/COD...","2","0","-2","Candidate - manual verify (XAML/reflection)"
"_widgetThread","D:/CODE/Cshp/SOUP/src/Services/WidgetThreadService.cs:20","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_widgetWindow","D:/CODE/Cshp/SOUP/src/Services/WidgetThreadService.cs:22","1","0","-1","Candidate - manual verify (XAML/reflection)"
